Empresa;Ramo de atividade;Faturamento anual;Orçamento anual de TI;Investimento em Automação;Investimento em APIs;Investimento em BI;Investimento em Blockchain;Investimento em Cloud;Investimento em Cibersegurança;Investimento em Inteligência Artificial;Investimento em Metaverso;Investimento em ESG;Maiores desafios da área de TI;Maiores fatores de risco para atingir os desafios;Posição da área de TI em projetos de inovação
57;Transporte e Logística;Até R$ 3 bilhões;Até R$ 30 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Gerenciar nosso ambiente multicloud;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Adequação aos processos & políticas de Governança / Compliance;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Falta de equipe com as habilidades necessárias;Resistência interna a mudanças;Processos lentos e inflexíveis;Escassez de fornecedores qualificados";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
58;Bancos;Até R$ 2 bilhões;Até R$ 300 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Gerenciar nosso ambiente multicloud;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Integração entre novas tecnologias e legado;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
59;Indústria Química, petroquímica, óleo e gás, celulose, etc.;Até R$ 2 bilhões;Até R$ 20 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Processos lentos e inflexíveis";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
60;Indústria Química, petroquímica, óleo e gás, celulose, etc.;Até R$ 500 milhões;Abaixo de R$ 5 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
61;Saúde (hospitais, clínicas, diagnósticos);Até R$ 10 bilhões;Até R$ 500 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Contratação / retenção de profissionais qualificados";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
62;Comércio (atacado ou varejo);Até R$ 6 bilhões;Até R$ 30 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Escassez de fornecedores qualificados";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
63;Indústria automotiva, autopeças e mecânica;Até R$ 6 bilhões;Até R$ 20 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
64;Outro;Até R$ 1 bilhão;Até R$ 10 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Contratação / retenção de profissionais qualificados;Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Recrutamento e retenção de Talentos;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
65;Comércio (atacado ou varejo);Até R$ 3 bilhões;Até R$ 30 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Reduzir custos de operação da TI;Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
66;Saúde (hospitais, clínicas, diagnósticos);Até R$ 13 bilhões;Até R$ 200 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Atualização / substituição de solução de ERP e/ou CRM";"Recrutamento e retenção de Talentos;Conflito de prioridades e múltiplas demandas;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
67;Comércio (atacado ou varejo);Até R$ 4 bilhões;Até R$ 80 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização / substituição de solução de ERP e/ou CRM;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
68;Agronegócios;Acima de 15 bilhões;Até R$ 30 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Atualização / substituição de solução de ERP e/ou CRM;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
69;Engenharia e construção cívil;Até R$ 1 bilhão;Até R$ 10 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Desenvolver soluções utilizando ferramentas de Inteligência Artificial;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";Conflito de prioridades e múltiplas demandas;É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
70;Bancos;Até R$ 400 milhões;Até R$ 30 milhões;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Contratação / retenção de profissionais qualificados;Contratação de Tecnologia como serviço (SaaS e IaaS);Nova governança por meio Contratação de Tecnologia como serviço (SaaS e IaaS);Adequação aos processos & políticas de Governança / Compliance;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Escassez de fornecedores qualificados";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
71;Comércio (atacado ou varejo);Até R$ 6 bilhões;Até R$ 30 milhões;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação / retenção de profissionais qualificados";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Baixo grau de maturidade na governança de TI da empresa;Resistência interna a mudanças;Integração entre novas tecnologias e legado";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
72;Indústria de Alimentos, bebidas e fumos;Até R$ 1 bilhão;Até R$ 15 milhões;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver / ampliar iniciativas que visem à adequação às certificações ESG";"Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Processos lentos e inflexíveis";Envolve-se informal e indiretamente com os projetos de inovação
73;Indústria Química, petroquímica, óleo e gás, celulose, etc.;Acima de 15 bilhões;Até R$ 1 bilhão;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Gerenciar nosso ambiente multicloud;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Atualização do legado para novas soluções/plataformas;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Orçamento insuficiente;Falta de cultura em inovação";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
74;Outro;Até R$50 milhões;Abaixo de R$ 5 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Adequação aos processos & políticas de Governança / Compliance";Falta de equipe com as habilidades necessárias;Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
75;Indústria automotiva, autopeças e mecânica;Até R$ 300 milhões;Abaixo de R$ 5 milhões;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Posicionar a TI como uma área estratégica do negócio;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
76;Outro;Até R$ 800 milhões;Até R$ 15 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Processos lentos e inflexíveis";É geradora, incubadora e/ou gestora da maioria dos projetos de inovação
77;Setor Público;Até R$ 2 bilhões;Até R$ 50 milhões;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Contratação / retenção de profissionais qualificados;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
78;Bancos;Até R$ 2 bilhões;Até R$ 15 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Posicionar a TI como uma área estratégica do negócio;Reduzir custos de operação da TI;Contratação / retenção de profissionais qualificados;Contratação de Tecnologia como serviço (SaaS e IaaS);Atualização do legado para novas soluções/plataformas;Atualização / substituição de solução de ERP e/ou CRM;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Orçamento insuficiente;Resistência interna a mudanças;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
79;Agronegócios;Até R$ 6 bilhões;Até R$ 30 milhões;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Implementar ou expandir a utilização de infraestrutura em nuvem (pública ou privada);Posicionar a TI como uma área estratégica do negócio;Atualização do legado para novas soluções/plataformas;Adequação aos processos & políticas de Governança / Compliance;Atualização / substituição de solução de ERP e/ou CRM";"Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças;Falta de cultura em inovação;Integração entre novas tecnologias e legado";Envolve-se informal e indiretamente com os projetos de inovação
80;Indústria automotiva, autopeças e mecânica;Até R$ 700 milhões;Até R$ 10 milhões;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado, mas sem previsão de novos investimentos;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Atualização do legado para novas soluções/plataformas";"Processos lentos e inflexíveis;Integração entre novas tecnologias e legado;Escassez de fornecedores qualificados";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
81;Siderurgia, Metalurgia ou Mineração;Até R$ 3 bilhões;Até R$ 20 milhões;Não implantado e sem previsão de investimentos.;Já implantado, mas sem previsão de novos investimentos;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;"Aumento da segurança dos dados e do ambiente de TI;Modernizar ou expandir a infraestrutura de TI tradicional (servidores, armazenamento e rede);Automação: melhorar a qualidade do trabalho, acelerar os processos de negócios e aumentar a agilidade da tomada de decisões;Criar novos modelos e frentes de negócio para aumentar a receita da companhia;Reduzir custos de operação da TI;Implementar / atualizar Plano formal de Continuidade de Negócios e/ou Disaster Recovery;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Falta de equipe com as habilidades necessárias;Conflito de prioridades e múltiplas demandas;Resistência interna a mudanças";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
82;Agronegócios;Acima de 15 bilhões;Até R$ 50 milhões;Previsão de investimentos iniciais nos próximos 12 meses;Já implantado e ainda receberá investimentos nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Previsão de investimentos iniciais nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Já implantado e ainda receberá investimentos nos próximos 12 meses;Não implantado e sem previsão de investimentos.;Não implantado e sem previsão de investimentos.;Previsão de investimentos iniciais nos próximos 12 meses;"Aumento da inteligência do negócio (BI, Analytics, Big Data) para tomada de decisões;Aumento da segurança dos dados e do ambiente de TI;Desenvolver soluções utilizando ferramentas de Inteligência Artificial";"Recrutamento e retenção de Talentos;Falta de cultura em inovação";Atua de forma intensa nos projetos de inovação, mesmo que não tenha a responsabilidade de realizar a gestão deles
